,M0_YoY,M1_YoY,M2_YoY,CPI_YoY,PPI_YoY,PMI
2006-01-31,,,,,3.05,
2006-02-28,,,,,3.01,
2006-03-31,,,,,2.49,
2006-04-30,,,,,1.87,
2006-05-31,,,,,2.43,
2006-06-30,,,,,3.52,
2006-07-31,,,,,3.58,
2006-08-31,,,,,3.4,
2006-09-30,,,,,3.45,
2006-10-31,,,,,2.9,
2006-11-30,,,,,2.78,
2006-12-31,,,,,3.05,
2007-01-31,,,,,3.3,
2007-02-28,,,,,2.6,
2007-03-31,,,,,2.65,
2007-04-30,,,,,2.87,
2007-05-31,,,,,2.76,
2007-06-30,,,,,2.49,
2007-07-31,,,,,2.39,
2007-08-31,,,,,2.56,
2007-09-30,,,,,2.71,
2007-10-31,,,,,3.21,
2007-11-30,,,,,4.55,
2007-12-31,,,,,5.43,
2008-01-31,31.21,20.54,18.88,7.0781,6.07,53.0
2008-02-29,5.96,18.95,17.39,8.7443,6.62,53.4
2008-03-31,11.12,17.97,16.19,8.3097,7.95,58.4
2008-04-30,10.7,19.05,16.94,8.4829,8.12,59.2
2008-05-31,12.88,17.93,18.07,7.7163,8.22,53.3
2008-06-30,12.28,14.19,17.37,7.0844,8.84,52.0
2008-07-31,12.3,13.96,16.35,6.302,10.03,48.4
2008-08-31,10.89,11.48,16.0,4.9001,10.06,48.4
2008-09-30,9.28,9.43,15.29,4.6425,9.13,51.2
2008-10-31,10.59,8.85,15.02,3.9744,6.59,44.6
2008-11-30,9.04,6.8,14.8,2.434,1.99,38.8
2008-12-31,12.65,9.06,17.82,1.1999,-1.14,41.2
2009-01-31,12.02,6.68,18.79,0.95,-3.35,45.3
2009-02-28,8.28,10.87,20.48,-1.5582,-4.47,49.0
2009-03-31,10.88,17.04,25.51,-1.1714,-5.99,52.4
2009-04-30,11.26,17.48,25.95,-1.5,-6.6,53.5
2009-05-31,11.24,18.69,25.74,-1.3713,-7.2,53.1
2009-06-30,11.46,24.79,28.46,-1.7,-7.8,53.2
2009-07-31,11.59,26.37,28.42,-1.8057,-8.22,53.3
2009-08-31,11.52,27.72,28.53,-1.2043,-7.86,54.0
2009-09-30,15.96,29.51,29.31,-0.7883,-6.99,54.3
2009-10-31,14.09,32.03,29.42,-0.53,-5.85,55.2
2009-11-30,14.99,34.63,29.74,0.56,-2.08,55.2
2009-12-31,11.77,32.35,27.68,1.8559,1.7,56.6
2010-01-31,-0.79,38.96,25.98,1.53,4.32,55.8
2010-02-28,21.98,34.99,25.52,2.6953,5.39,52.0
2010-03-31,15.81,29.94,22.5,2.3707,5.91,55.1
2010-04-30,15.76,31.25,21.48,2.8136,6.81,55.7
2010-05-31,15.2,29.9,21.0,3.0613,7.13,53.9
2010-06-30,15.7,24.6,18.5,2.9499,6.41,52.1
2010-07-31,15.5,22.9,17.6,3.3042,4.84,51.2
2010-08-31,16.0,21.9,19.2,3.4794,4.32,51.7
2010-09-30,13.8,20.9,19.0,3.6056,4.33,53.8
2010-10-31,16.6,22.1,19.3,4.3655,5.04,54.7
2010-11-30,16.3,22.1,19.5,5.1192,6.06,55.2
2010-12-31,16.7,21.2,19.7,4.5859,5.93,53.9
2011-01-31,42.5,13.6,17.2,4.9121,6.6436,52.9
2011-02-28,10.3,14.5,15.7,4.9443,7.2322,52.2
2011-03-31,14.8,15.0,16.6,5.383,7.3081,53.4
2011-04-30,14.7,12.9,15.3,5.3442,6.821,52.9
2011-05-31,15.4,12.7,15.1,5.5146,6.7851,52.0
2011-06-30,14.4,13.1,15.9,6.3553,7.1209,50.9
2011-07-31,14.3,11.6,14.7,6.4508,7.5417,50.7
2011-08-31,14.7,11.2,13.5,6.1514,7.2528,50.9
2011-09-30,12.68,8.85,13.04,6.0671,6.5227,51.2
2011-10-31,11.9,8.4,12.9,5.4954,5.0038,50.4
2011-11-30,12.0,7.8,12.7,4.2246,2.7179,49.0
2011-12-31,13.8,7.9,13.6,4.0704,1.6854,50.3
2012-01-31,3.0,3.1,12.4,4.5485,0.7347,50.5
2012-02-29,8.8,4.3,13.0,3.1613,0.0284,51.0
2012-03-31,10.6,4.4,13.4,3.5856,-0.3171,53.1
2012-04-30,10.4,3.1,12.8,3.3653,-0.6984,53.3
2012-05-31,10.0,3.5,13.2,3.0008,-1.3981,50.4
2012-06-30,10.8,4.7,13.6,2.1504,-2.0843,50.2
2012-07-31,10.0,4.6,13.9,1.8,-2.8651,50.1
2012-08-31,9.7,4.5,13.5,2.0,-3.4784,49.2
2012-09-30,13.3,7.3,14.8,1.9,-3.5545,49.8
2012-10-31,10.5,6.1,14.1,1.7,-2.7558,50.2
2012-11-30,10.7,5.5,13.9,2.0,-2.1995,50.6
2012-12-31,7.7,6.5,13.8,2.5,-1.9397,50.6
2013-01-31,4.4,15.3,15.9,2.0,-1.6372,50.4
2013-02-28,17.2,9.5,15.2,3.2,-1.6254,50.1
2013-03-31,12.4,11.9,15.7,2.1,-1.919,50.9
2013-04-30,10.8,11.9,16.1,2.4,-2.6175,50.6
2013-05-31,10.8,11.3,15.8,2.0981,-2.8658,50.8
2013-06-30,9.9,9.1,14.0,2.7,-2.6965,50.1
2013-07-31,9.5,9.7,14.5,2.7,-2.2712,50.3
2013-08-31,9.3,9.9,14.7,2.6,-1.625,51.0
2013-09-30,5.7,8.9,14.2,3.1,-1.3439,51.1
2013-10-31,8.0,8.9,14.3,3.2,-1.5071,51.4
2013-11-30,7.7,9.4,14.2,3.0,-1.4242,51.4
2013-12-31,7.1,9.3,13.6,2.49871692,-1.3557,51.0
2014-01-31,22.5,1.2,13.2,2.5,-1.6394,50.5
2014-02-28,3.3,6.9,13.3,2.0,-2.0182,50.2
2014-03-31,5.2,5.4,12.1,2.4,-2.3022,50.3
2014-04-30,5.4,5.5,13.2,1.80138144,-2.0042,50.4
2014-05-31,6.7,5.7,13.4,2.5,-1.4464,50.8
2014-06-30,5.3,8.9,14.7,2.3,-1.1086,51.0
2014-07-31,5.4,6.7,13.5,2.3,-0.8688,51.7
2014-08-31,5.6,5.7,12.8,2.0,-1.2038,51.1
2014-09-30,4.2,4.8,12.9,1.6,-1.7996,51.1
2014-10-31,3.8,3.2,12.6,1.60114868,-2.2428,50.8
2014-11-30,3.5,3.2,12.3,1.4,-2.6928,50.3
2014-12-31,2.9,3.2,12.2,1.5,-3.3152,50.1
2015-01-31,-17.6,10.6,10.8,0.8,-4.3202,49.8
2015-02-28,17.0,5.6,12.5,1.4,-4.7976,49.9
2015-03-31,6.2,2.9,11.6,1.4,-4.5603,50.1
