,date,series,value,score,method,M1_YoY,M2_YoY,M1_M2_scissors,PPI_YoY,CPI_YoY
0,2008-02-29,ALL (multi-variable),,-0.017272074110578517,iforest,18.95,17.39,1.5599999999999987,6.62,8.7443
1,2009-02-28,ALL (multi-variable),,-0.05307745309395462,iforest,10.87,20.48,-9.61,-4.47,-1.5582
2,2009-03-31,ALL (multi-variable),,-0.06047958582921098,iforest,17.04,25.51,-8.470000000000002,-5.99,-1.1714
3,2009-06-30,ALL (multi-variable),,-0.04404152272310935,iforest,24.79,28.46,-3.6700000000000017,-7.8,-1.7
4,2009-11-30,ALL (multi-variable),,-0.056417280407083825,iforest,34.63,29.74,4.890000000000004,-2.08,0.56
5,2009-12-31,ALL (multi-variable),,-0.07160227420705612,iforest,32.35,27.68,4.670000000000002,1.7,1.8559
6,2010-01-31,ALL (multi-variable),,-0.10914832159023813,iforest,38.96,25.98,12.98,4.32,1.53
7,2010-02-28,ALL (multi-variable),,-0.03546019100081155,iforest,34.99,25.52,9.470000000000002,5.39,2.6953
8,2010-03-31,ALL (multi-variable),,-0.003096761944026194,iforest,29.94,22.5,7.440000000000001,5.91,2.3707
9,2011-01-31,ALL (multi-variable),,-5.293155371144387e-05,iforest,13.6,17.2,-3.6,6.6436,4.9121
10,2017-02-28,ALL (multi-variable),,-0.03432470410478705,iforest,21.4,10.45,10.95,7.8,0.8
11,2022-01-31,ALL (multi-variable),,-0.033397065949576255,iforest,-1.9,9.8,-11.7,9.1,0.9
