,date,series,value,score,method
0,2008-01-31,CPI_YoY,7.0781,-4.089340114577104,stl
1,2008-04-30,PPI_YoY,8.12,4.4697863138183145,stl
2,2008-05-31,PPI_YoY,8.22,6.013322175018204,stl
3,2008-06-30,PPI_YoY,8.84,8.052230378957564,stl
4,2008-07-31,PPI_YoY,10.03,11.641111799129302,stl
5,2008-08-31,PPI_YoY,10.06,13.01183223213263,stl
6,2008-09-30,M1_M2_scissors,-5.859999999999999,-6.231163252618701,stl
7,2008-09-30,PPI_YoY,9.13,12.79691466820603,stl
8,2008-10-31,M1_M2_scissors,-6.17,-9.607460221295131,stl
9,2008-10-31,M1_YoY,8.85,-17.61765674261589,stl
10,2008-10-31,M2_YoY,15.02,-10.286344795798426,stl
11,2008-10-31,PPI_YoY,6.59,10.231515117309897,stl
12,2008-11-30,M1_M2_scissors,-8.0,-14.152312293680168,stl
13,2008-11-30,M1_YoY,6.8,-24.425228802562295,stl
14,2008-11-30,M2_YoY,14.8,-15.240193955654563,stl
15,2008-11-30,PPI_YoY,1.99,4.258733595658435,stl
16,2008-12-31,M1_M2_scissors,-8.76,-14.023060931884844,stl
17,2008-12-31,M1_YoY,9.06,-20.59275895778487,stl
18,2008-12-31,M2_YoY,17.82,-14.069887433124537,stl
19,2009-01-31,M1_M2_scissors,-12.11,-12.760387763927183,stl
20,2009-01-31,M1_YoY,6.68,-20.202416715895847,stl
21,2009-01-31,M2_YoY,18.79,-7.409979404623842,stl
22,2009-02-28,CPI_YoY,-1.5582,-8.800235946969028,stl
23,2009-02-28,M1_M2_scissors,-9.61,-10.831026315355068,stl
24,2009-02-28,M1_YoY,10.87,-15.4906562523798,stl
25,2009-03-31,CPI_YoY,-1.1714,-8.968623995029898,stl
26,2009-03-31,M1_M2_scissors,-8.470000000000002,-9.754712240879995,stl
27,2009-03-31,M1_YoY,17.04,-9.08934018088517,stl
28,2009-03-31,M2_YoY,25.51,13.11130182207983,stl
29,2009-03-31,PPI_YoY,-5.99,-5.6920446101930064,stl
30,2009-04-30,CPI_YoY,-1.5,-11.829832000011566,stl
31,2009-04-30,M1_M2_scissors,-8.469999999999999,-9.769408899519219,stl
32,2009-04-30,M1_YoY,17.48,-9.17433970022447,stl
33,2009-04-30,M2_YoY,25.95,12.96261211454357,stl
34,2009-04-30,PPI_YoY,-6.6,-7.545754046314069,stl
35,2009-05-31,CPI_YoY,-1.3713,-11.32082121897646,stl
36,2009-05-31,M1_M2_scissors,-7.049999999999997,-6.393439966696363,stl
37,2009-05-31,M1_YoY,18.69,-7.764905445950882,stl
38,2009-05-31,M2_YoY,25.74,10.09166166929553,stl
39,2009-05-31,PPI_YoY,-7.2,-9.315744636528212,stl
40,2009-06-30,CPI_YoY,-1.7,-11.382741214926984,stl
41,2009-06-30,M2_YoY,28.46,16.727939429326376,stl
42,2009-06-30,PPI_YoY,-7.8,-10.121068142216945,stl
43,2009-07-31,CPI_YoY,-1.8057,-11.336221126313358,stl
44,2009-07-31,M2_YoY,28.42,18.738666820735666,stl
45,2009-07-31,PPI_YoY,-8.22,-9.656843486829175,stl
46,2009-08-31,CPI_YoY,-1.2043,-8.25376048716547,stl
47,2009-08-31,M1_YoY,27.72,4.783613642686877,stl
48,2009-08-31,M2_YoY,28.53,19.400712939017932,stl
49,2009-08-31,PPI_YoY,-7.86,-9.202960570902528,stl
50,2009-09-30,CPI_YoY,-0.7883,-7.374873694180617,stl
51,2009-09-30,M1_YoY,29.51,9.286490416449837,stl
52,2009-09-30,M2_YoY,29.31,21.293166207696046,stl
53,2009-09-30,PPI_YoY,-6.99,-8.512853154429154,stl
54,2009-10-31,CPI_YoY,-0.53,-7.2969084146902805,stl
55,2009-10-31,M2_YoY,29.42,14.695156510114852,stl
56,2009-10-31,PPI_YoY,-5.85,-8.348539081768761,stl
57,2009-11-30,M2_YoY,29.74,10.942667610165268,stl
58,2009-11-30,PPI_YoY,-2.08,-5.918954495558894,stl
59,2010-01-31,M1_M2_scissors,12.98,14.813703214381032,stl
60,2010-01-31,M1_YoY,38.96,12.58997232841813,stl
61,2010-02-28,M1_M2_scissors,9.470000000000002,9.25825932689239,stl
62,2010-02-28,M1_YoY,34.99,8.636846841419318,stl
63,2010-02-28,M2_YoY,25.52,5.548076248765898,stl
64,2010-03-31,M1_M2_scissors,7.440000000000001,6.8833208653245075,stl
65,2010-03-31,M1_YoY,29.94,3.566710562123193,stl
66,2010-04-30,M1_M2_scissors,9.77,9.517416616735245,stl
67,2010-04-30,M1_YoY,31.25,6.282547185137468,stl
68,2010-05-31,M1_M2_scissors,8.899999999999999,9.166334722501603,stl
69,2010-05-31,M1_YoY,29.9,5.87477752135695,stl
70,2010-06-30,M1_M2_scissors,6.100000000000001,7.338961407507127,stl
71,2010-06-30,M2_YoY,18.5,-6.971972334846114,stl
72,2010-07-31,M1_M2_scissors,5.299999999999997,5.7228473828930495,stl
73,2010-07-31,M2_YoY,17.6,-5.733715328626851,stl
74,2010-09-30,M1_YoY,20.9,3.6927281402198027,stl
75,2010-11-30,CPI_YoY,5.1192,3.909569877362127,stl
76,2011-06-30,CPI_YoY,6.3553,5.386462881949622,stl
77,2011-07-31,CPI_YoY,6.4508,5.680292838945017,stl
