date,iforest,stl,zscore,n_methods
2009-02-28,1,3,3,3
2009-03-31,1,5,2,3
2009-06-30,1,3,1,3
2010-01-31,1,2,1,3
2017-02-28,1,1,1,3
2022-01-31,1,2,1,3
2008-01-31,0,1,1,2
2008-02-29,1,0,1,2
2008-04-30,0,1,1,2
2008-05-31,0,1,1,2
2008-06-30,0,1,1,2
2008-07-31,0,1,1,2
2008-08-31,0,1,1,2
2009-01-31,0,3,1,2
2009-04-30,0,5,2,2
2009-05-31,0,5,1,2
2009-11-30,1,2,0,2
2010-02-28,1,3,0,2
2010-03-31,1,2,0,2
2015-01-31,0,2,3,2
2015-03-31,0,1,1,2
2015-04-30,0,1,1,2
2016-03-31,0,2,2,2
2016-04-30,0,2,2,2
2016-05-31,0,2,2,2
2016-06-30,0,2,2,2
2016-07-31,0,3,2,2
2016-12-31,0,1,1,2
2017-01-31,0,3,1,2
2017-03-31,0,1,1,2
2018-02-28,0,1,1,2
2019-11-30,0,1,1,2
2019-12-31,0,1,1,2
2020-01-31,0,1,1,2
2020-02-29,0,1,1,2
2020-03-31,0,1,1,2
2020-04-30,0,1,1,2
2020-05-31,0,1,1,2
2020-06-30,0,1,1,2
2020-11-30,0,2,1,2
2021-01-31,0,2,2,2
2021-04-30,0,1,1,2
2021-05-31,0,2,1,2
2021-07-31,0,1,1,2
2021-08-31,0,1,1,2
2021-09-30,0,1,1,2
2021-10-31,0,1,1,2
2021-11-30,0,1,1,2
2024-04-30,0,1,1,2
2024-05-31,0,3,1,2
2024-06-30,0,3,1,2
2024-07-31,0,2,2,2
2024-08-31,0,2,2,2
2024-09-30,0,2,2,2
2007-11-30,0,0,1,1
2007-12-31,0,0,1,1
2008-03-31,0,0,1,1
2008-09-30,0,2,0,1
2008-10-31,0,4,0,1
2008-11-30,0,4,0,1
2008-12-31,0,3,0,1
2009-07-31,0,3,0,1
2009-08-31,0,4,0,1
2009-09-30,0,4,0,1
2009-10-31,0,3,0,1
2009-12-31,1,0,0,1
2010-04-30,0,2,0,1
2010-05-31,0,2,0,1
2010-06-30,0,2,0,1
2010-07-31,0,2,0,1
2010-09-30,0,1,0,1
2010-11-30,0,1,0,1
2011-01-31,1,0,0,1
2011-06-30,0,1,0,1
2011-07-31,0,2,0,1
2011-08-31,0,2,0,1
2011-09-30,0,3,0,1
2011-10-31,0,2,0,1
2011-11-30,0,1,0,1
2011-12-31,0,1,0,1
2012-01-31,0,1,0,1
2012-10-31,0,1,0,1
2013-01-31,0,3,0,1
2013-02-28,0,2,0,1
2013-03-31,0,3,0,1
2013-04-30,0,3,0,1
2013-05-31,0,2,0,1
2014-01-31,0,2,0,1
2014-06-30,0,1,0,1
2014-10-31,0,2,0,1
2014-11-30,0,2,0,1
2014-12-31,0,2,0,1
2015-02-28,0,0,1,1
2015-05-31,0,1,0,1
2015-06-30,0,2,0,1
2015-07-31,0,1,0,1
2015-08-31,0,0,1,1
2015-10-31,0,0,1,1
2015-11-30,0,0,1,1
2015-12-31,0,0,1,1
2016-01-31,0,0,2,1
2016-02-29,0,0,1,1
2016-08-31,0,2,0,1
2016-09-30,0,2,0,1
2016-10-31,0,1,0,1
2016-11-30,0,0,1,1
2017-04-30,0,1,0,1
2018-01-31,0,2,0,1
2018-11-30,0,1,0,1
2018-12-31,0,1,0,1
2019-10-31,0,0,1,1
2020-10-31,0,2,0,1
2021-06-30,0,0,1,1
2021-12-31,0,1,0,1
2022-07-31,0,1,0,1
2022-08-31,0,1,0,1
2022-09-30,0,1,0,1
2023-01-31,0,1,0,1
2023-02-28,0,1,0,1
2023-03-31,0,1,0,1
2023-04-30,0,1,0,1
2023-05-31,0,1,0,1
2023-06-30,0,1,0,1
2023-07-31,0,1,0,1
2024-01-31,0,2,0,1
2024-10-31,0,2,0,1
2024-11-30,0,2,0,1
2025-02-28,0,1,0,1
2025-05-31,0,1,0,1
2025-06-30,0,2,0,1
2025-07-31,0,3,0,1
2025-08-31,0,2,0,1
2026-02-28,0,0,1,1
2026-03-31,0,0,1,1
2026-04-30,0,0,1,1
2026-05-31,0,0,1,1
2026-06-30,0,0,1,1
2026-07-31,0,0,1,1
2026-08-31,0,0,1,1
